Entry	Gene names	Subcellular location [CC]
Q92558	WASF1 KIAA0269 SCAR1 WAVE1	SUBCELLULAR LOCATION: Cytoplasm, cytoskeleton {ECO:0000269|PubMed:9889097}. Cell junction, synapse {ECO:0000250|UniProtKB:Q5BJU7}. Cell junction, focal adhesion {ECO:0000269|PubMed:18559503}. Note=Dot-like pattern in the cytoplasm. Concentrated in Rac-regulated membrane-ruffling areas (PubMed:9889097). Partial translocation to focal adhesion sites might be mediated by interaction with SORBS2 (PubMed:18559503). In neurons, colocalizes with activated NTRK2 after BDNF addition in endocytic sites through the association with TMEM108 (By similarity). {ECO:0000250|UniProtKB:Q8R5H6, ECO:0000269|PubMed:18559503, ECO:0000269|PubMed:9889097}.
Q6ICG8	WBP2NL PAWP	
Q8IX01	SUGP2 KIAA0365 SFRS14	SUBCELLULAR LOCATION: Nucleus {ECO:0000305}.
P35625	TIMP3	SUBCELLULAR LOCATION: Secreted, extracellular space, extracellular matrix.
Q96CP7	TLCD1	SUBCELLULAR LOCATION: Cell membrane {ECO:0000305|PubMed:30509349}; Multi-pass membrane protein {ECO:0000250|UniProtKB:F1NZP5}.
Q9Y5J9	TIMM8B DDP2 DDPL TIM8B	SUBCELLULAR LOCATION: Mitochondrion inner membrane {ECO:0000250}; Peripheral membrane protein {ECO:0000250}; Intermembrane side {ECO:0000250}.
Q8NHU6	TDRD7 PCTAIRE2BP	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:21436445}. Note=Localizes to cytoplasmic RNA granules. Present in chromatoid body (CB) of spermatids (mammalian counterpart of germplasm, pole plasm or polar granules in Drosophila germ cells), also named processing bodies (P-bodies) in somatic cells. Detected in the multilobular cytoplasmic CBs (also called intermitochondrial cementin) in pachytene spermatocytes and as a single perinuclear CB in haploid round spermatids (By similarity). {ECO:0000250}.
A8MWL7	TMEM14DP TMEM14D	SUBCELLULAR LOCATION: Membrane {ECO:0000305}; Multi-pass membrane protein {ECO:0000305}.
Q9NPI0	TMEM138 HSPC196 HSPC198	SUBCELLULAR LOCATION: Vacuole membrane {ECO:0000269|PubMed:22282472}; Multi-pass membrane protein {ECO:0000269|PubMed:22282472}. Cell projection, cilium {ECO:0000269|PubMed:22282472}. Note=Localizes to vesicles en route to the base of cilium.
Q7Z5S9	TMEM144	SUBCELLULAR LOCATION: Membrane {ECO:0000305}; Multi-pass membrane protein {ECO:0000305}.
P68036	UBE2L3 UBCE7 UBCH7	SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:11278816, ECO:0000269|PubMed:17003263}. Cytoplasm {ECO:0000269|PubMed:11278816, ECO:0000269|PubMed:17003263}.
A6NHS1		
P0CI00	ZNF705B	SUBCELLULAR LOCATION: Nucleus {ECO:0000305}.
Q9UHD9	UBQLN2 N4BP4 PLIC2 HRIHFB2157	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:18199683}. Nucleus {ECO:0000269|PubMed:9853615}. Membrane {ECO:0000250|UniProtKB:Q9QZM0}. Cytoplasmic vesicle, autophagosome {ECO:0000269|PubMed:19148225}. Note=Colocalizes with a subset of proteasomes, namely those that are cytoskeleton associated or free in the cytosol. Associated with fibers in mitotic cells. {ECO:0000269|PubMed:10983987}.
Q8NHM4	PRSS3P2 T6 TRY6	SUBCELLULAR LOCATION: Secreted {ECO:0000305}.
Q14119	VEZF1 DB1 ZNF161	SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:8035792}.
Q8TAF3	WDR48 KIAA1449 UAF1	SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:18032488}. Cytoplasm {ECO:0000269|PubMed:12196293, ECO:0000269|PubMed:18032488}. Lysosome {ECO:0000269|PubMed:12196293}. Late endosome {ECO:0000269|PubMed:12196293}. Note=Mainly in cytoplasmic compartments (PubMed:12196293, PubMed:18032488). In case of infection by papillomavirus HPV11, translocates to the nucleus via its interaction with papillomavirus HPV11 (PubMed:18032488). {ECO:0000269|PubMed:12196293, ECO:0000269|PubMed:18032488}.
O43379	WDR62 C19orf14	SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:20729831, ECO:0000269|PubMed:21496009}. Cytoplasm, cytoskeleton, spindle pole {ECO:0000269|PubMed:20890278, ECO:0000269|PubMed:20890279, ECO:0000269|PubMed:28089251}. Cytoplasm, cytoskeleton, microtubule organizing center, centrosome {ECO:0000269|PubMed:20890278, ECO:0000269|PubMed:21496009, ECO:0000269|PubMed:26297806}. Cytoplasm, cytoskeleton, microtubule organizing center, centrosome, centriole {ECO:0000269|PubMed:26297806}. Note=Shows cell cycle-dependent localization. Accumulates to the spindle pole during mitosis. Colocalizes with CDK5RAP2, CEP152 and WDR62 in a discrete ring around the proximal end of the parental centriole. At this site, a cohesive structure is predicted to engage parental centrioles and procentrioles. {ECO:0000269|PubMed:20890278, ECO:0000269|PubMed:26297806}.
Q96FK6	WDR89 C14orf150 MSTP050	
Q8IWA0	WDR75 UTP17	SUBCELLULAR LOCATION: Nucleus, nucleolus {ECO:0000269|PubMed:12429849, ECO:0000269|PubMed:22916032}.
Q13360	ZNF177	SUBCELLULAR LOCATION: Nucleus {ECO:0000305}.
Q9NW82	WDR70	
Q9BRX9	WDR83 MORG1	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250}. Nucleus {ECO:0000250}. Note=Predominantly cytoplasmic. Partially nuclear. {ECO:0000250}.
B1ANS9	WDR64	
Q96JL9	ZNF333 KIAA1806	SUBCELLULAR LOCATION: Nucleus {ECO:0000305}.
Q8N9F8	ZNF454	SUBCELLULAR LOCATION: Nucleus {ECO:0000305}.
Q96JC4	ZNF479	SUBCELLULAR LOCATION: Nucleus {ECO:0000305}.
Q8TF20	ZNF721 KIAA1982	SUBCELLULAR LOCATION: Nucleus {ECO:0000305}.
P30536	TSPO BZRP MBR	SUBCELLULAR LOCATION: Mitochondrion membrane {ECO:0000269|PubMed:1847678}; Multi-pass membrane protein {ECO:0000269|PubMed:1847678}.
Q9Y6M5	SLC30A1 ZNT1	SUBCELLULAR LOCATION: Cell membrane {ECO:0000305}; Multi-pass membrane protein {ECO:0000305}.
Q8N184	ZNF567	SUBCELLULAR LOCATION: Nucleus {ECO:0000305}.
Q6UXI7	VIT UNQ647/PRO1277	SUBCELLULAR LOCATION: Secreted, extracellular space, extracellular matrix {ECO:0000250}.
Q6SA08	TSSK4 C14orf20 STK22E TSSK5	SUBCELLULAR LOCATION: Cytoplasmic vesicle, secretory vesicle, acrosome {ECO:0000250|UniProtKB:Q9D411}. Cell projection, cilium, flagellum {ECO:0000250|UniProtKB:Q9D411}. Note=In spermatozoa, present in the sperm head and in the flagellum. {ECO:0000250|UniProtKB:Q9D411}.
O43309	ZSCAN12 KIAA0426 ZNF305 ZNF96	SUBCELLULAR LOCATION: Nucleus {ECO:0000255|PROSITE-ProRule:PRU00187}.
P33981	TTK MPS1 MPS1L1	
P02766	TTR PALB	SUBCELLULAR LOCATION: Secreted. Cytoplasm.
Q7Z5L0	VMO1 UNQ6350/PRO21055	SUBCELLULAR LOCATION: Secreted {ECO:0000305}.
Q15904	ATP6AP1 ATP6IP1 ATP6S1 VATPS1 XAP3	SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000269|PubMed:27231034}; Single-pass membrane protein {ECO:0000305}. Endoplasmic reticulum-Golgi intermediate compartment membrane {ECO:0000269|PubMed:27231034}. Note=Not detected in trans-Golgi network. {ECO:0000269|PubMed:27231034}.
O95497	VNN1	SUBCELLULAR LOCATION: Cell membrane {ECO:0000305|PubMed:11491533}; Lipid-anchor, GPI-anchor {ECO:0000305}.
O75436	VPS26A VPS26	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:15078903}. Endosome membrane {ECO:0000269|PubMed:22431521}; Peripheral membrane protein {ECO:0000250|UniProtKB:P40336}. Early endosome {ECO:0000269|PubMed:15078903, ECO:0000269|PubMed:16190980, ECO:0000269|PubMed:16732284, ECO:0000269|PubMed:20682791}. Note=Localizes to tubular profiles adjacent to endosomes (PubMed:15078903). Predominantly found in early not late endosomes (By similarity). {ECO:0000250|UniProtKB:P40336}.
P27352	CBLIF GIF IFMH	SUBCELLULAR LOCATION: Secreted.
Q8WYA0	IFT81 CDV1	SUBCELLULAR LOCATION: Cell projection, cilium {ECO:0000305|PubMed:23990561}.
Q92628	KIAA0232	
Q9BV36	MLPH SLAC2A	SUBCELLULAR LOCATION: Cytoplasm.
Q96JB3	HIC2 HRG22 KIAA1020 ZBTB30	SUBCELLULAR LOCATION: Nucleus.
Q5VVH5	IRAK1BP1	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250}. Nucleus {ECO:0000250}.
Q9Y3D8	AK6 CINAP AD-004 CGI-137	SUBCELLULAR LOCATION: Nucleus, nucleoplasm. Nucleus, Cajal body. Note=Displays widespread diffuse nucleoplasmic distribution but not detected in nucleoli. Detected in Cajal bodies but not in all cells.
P09211	GSTP1 FAEES3 GST3	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:19269317}. Mitochondrion {ECO:0000269|PubMed:19269317}. Nucleus {ECO:0000269|PubMed:19269317}. Note=The 83 N-terminal amino acids function as un uncleaved transit peptide, and arginine residues within it are crucial for mitochondrial localization.
A4D1E9	GTPBP10 OBGH2 UG0751c10	SUBCELLULAR LOCATION: Nucleus, nucleolus {ECO:0000269|PubMed:17054726}. Chromosome {ECO:0000269|PubMed:17054726}. Note=Found in the dense fibrillar compartment region of the nucleolus. At the onset of mitosis moves to the chromosome surface and remains there until anaphase. Gradually re-assembles into the nucleolus at late anaphase to telophase.
Q8NDC0	MAPK1IP1L C14orf32	
Q8NB16	MLKL	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:24316671}. Cell membrane {ECO:0000269|PubMed:24316671, ECO:0000269|PubMed:29883610}. Note=Localizes to the cytoplasm and translocates to the plasma membrane on necroptosis induction.
Q02846	GUCY2D CORD6 GUC1A4 GUC2D RETGC RETGC1	SUBCELLULAR LOCATION: Photoreceptor outer segment membrane {ECO:0000269|PubMed:7912093}; Single-pass type I membrane protein {ECO:0000255}. Endoplasmic reticulum membrane {ECO:0000269|PubMed:30319355}; Single-pass type I membrane protein {ECO:0000255}.
A0A0A0MRZ9	IGLV5-52	SUBCELLULAR LOCATION: Secreted {ECO:0000303|PubMed:20176268, ECO:0000303|PubMed:22158414}. Cell membrane {ECO:0000303|PubMed:20176268, ECO:0000303|PubMed:22158414}.
Q96PU9	ODF3 SHIPPO1 TISP50	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250}. Note=Expressed in the cytoplasmic lobe of spermatids. {ECO:0000250}.
Q9Y5U9	IER3IP1 HSPC039	SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000269|PubMed:15276200}; Multi-pass membrane protein {ECO:0000269|PubMed:15276200}.
P01705	IGLV2-23	SUBCELLULAR LOCATION: Secreted {ECO:0000303|PubMed:20176268, ECO:0000303|PubMed:22158414}. Cell membrane {ECO:0000303|PubMed:20176268, ECO:0000303|PubMed:22158414}.
Q9Y573	IPP KLHL27	SUBCELLULAR LOCATION: Cytoplasm, cytoskeleton.
Q6UWN0	LYPD4 UNQ2552/PRO6181	SUBCELLULAR LOCATION: Cell membrane {ECO:0000305}; Lipid-anchor, GPI-anchor {ECO:0000305}.
Q6UWN5	LYPD5 UNQ1908/PRO4356	SUBCELLULAR LOCATION: Cell membrane {ECO:0000305}; Lipid-anchor, GPI-anchor {ECO:0000305}.
Q9Y616	IRAK3	
Q9NVD7	PARVA MXRA2	SUBCELLULAR LOCATION: Cell junction, focal adhesion. Cell membrane; Peripheral membrane protein; Cytoplasmic side. Cytoplasm, cytoskeleton. Cytoplasm, myofibril, sarcomere, Z line {ECO:0000250}. Note=Constituent of focal adhesions. Associates with the actin cytoskeleton.
Q9GZP0	PDGFD IEGF SCDGFB MSTP036 UNQ1899/PRO4345	SUBCELLULAR LOCATION: Secreted {ECO:0000269|PubMed:11331882}. Note=Released by platelets upon wounding.
Q9H720	CWH43 PGAP2IP	SUBCELLULAR LOCATION: Membrane {ECO:0000305}; Multi-pass membrane protein {ECO:0000305}.
Q7RTR2	NLRC3 NOD3	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:15705585, ECO:0000269|PubMed:24560620, ECO:0000269|PubMed:25277106}.
Q15121	PEA15	SUBCELLULAR LOCATION: Cytoplasm. Note=Associated with microtubules.
Q0GE19	SLC10A7 C4orf13 P7 PSEC0051	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:17628207, ECO:0000269|PubMed:30082715}; Multi-pass membrane protein {ECO:0000305|PubMed:17628207}. Endoplasmic reticulum membrane {ECO:0000269|PubMed:17628207}; Multi-pass membrane protein {ECO:0000305|PubMed:17628207}. Golgi apparatus membrane {ECO:0000269|PubMed:29878199}.
O15375	SLC16A5 MCT5 MCT6	SUBCELLULAR LOCATION: Cell membrane; Multi-pass membrane protein.
O95255	ABCC6 ARA MRP6	SUBCELLULAR LOCATION: [Isoform 1]: Basolateral cell membrane {ECO:0000269|PubMed:12901863, ECO:0000269|PubMed:23625951}; Multi-pass membrane protein {ECO:0000255}.; SUBCELLULAR LOCATION: [Isoform 2]: Endoplasmic reticulum membrane {ECO:0000269|PubMed:23912081}; Single-pass membrane protein {ECO:0000255}.
Q9NRJ1	C8orf17	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:17143515}. Microsome membrane {ECO:0000269|PubMed:17143515}. Endoplasmic reticulum membrane {ECO:0000269|PubMed:17143515}.
Q9NQ66	PLCB1 KIAA0581	SUBCELLULAR LOCATION: Nucleus membrane {ECO:0000250}. Cytoplasm {ECO:0000250}. Note=Colocalizes with the adrenergic receptors, ADREN1A and ADREN1B, at the nuclear membrane of cardiac myocytes. {ECO:0000250}.
Q9NSI8	SAMSN1 HACS1	SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:11594764}. Cytoplasm {ECO:0000250}. Cell projection, ruffle {ECO:0000250}. Note=Shuttles between cytoplasm and nucleus. Colocalizes with the actin cytoskeleton and actin-rich membrane ruffles (By similarity). {ECO:0000250}.
Q9P270	SLAIN2 KIAA1458	SUBCELLULAR LOCATION: Cytoplasm, cytoskeleton. Note=Colocalizes with microtubules. Detected at the plus end of growing microtubules.
Q9P0V8	SLAMF8 BLAME	SUBCELLULAR LOCATION: Membrane; Single-pass type I membrane protein.
Q16563	SYPL1 SYPL	SUBCELLULAR LOCATION: Cytoplasmic vesicle membrane {ECO:0000250}; Multi-pass membrane protein {ECO:0000250}. Melanosome {ECO:0000269|PubMed:17081065}. Note=Cytoplasmic transport vesicles (By similarity). Identified by mass spectrometry in melanosome fractions from stage I to stage IV. {ECO:0000250}.
Q12888	TP53BP1	SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:11331310, ECO:0000269|PubMed:15525939, ECO:0000269|PubMed:16294045, ECO:0000269|PubMed:16294047, ECO:0000269|PubMed:17190600, ECO:0000269|PubMed:19176521, ECO:0000269|PubMed:21144835, ECO:0000269|PubMed:28241136, ECO:0000269|PubMed:9748285}. Chromosome {ECO:0000269|PubMed:12824158, ECO:0000269|PubMed:15525939, ECO:0000269|PubMed:17190600, ECO:0000269|PubMed:23333306, ECO:0000269|PubMed:23760478, ECO:0000269|PubMed:24703952, ECO:0000269|PubMed:28241136}. Chromosome, centromere, kinetochore {ECO:0000250|UniProtKB:P70399}. Note=Localizes to the nucleus in absence of DNA damage (PubMed:28241136). Following DNA damage, recruited to sites of DNA damage, such as double stand breaks (DSBs): recognizes and binds histone H2A monoubiquitinated at 'Lys-15' (H2AK15Ub) and histone H4 dimethylated at 'Lys-20' (H4K20me2), two histone marks that are present at DSBs sites (PubMed:23333306, PubMed:23760478, PubMed:24703952, PubMed:28241136, PubMed:17190600). Associated with kinetochores during mitosis (By similarity). {ECO:0000250|UniProtKB:P70399, ECO:0000269|PubMed:17190600, ECO:0000269|PubMed:23333306, ECO:0000269|PubMed:23760478, ECO:0000269|PubMed:28241136}.
Q9Y6J9	TAF6L PAF65A	SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:11564863, ECO:0000269|PubMed:9674425}.
Q9NXL6	SIDT1	SUBCELLULAR LOCATION: Membrane {ECO:0000305}; Multi-pass membrane protein {ECO:0000305}.
Q15437	SEC23B	SUBCELLULAR LOCATION: Cytoplasmic vesicle, COPII-coated vesicle membrane {ECO:0000250|UniProtKB:Q15436}; Peripheral membrane protein {ECO:0000250|UniProtKB:Q15436}; Cytoplasmic side {ECO:0000250|UniProtKB:Q15436}. Endoplasmic reticulum membrane {ECO:0000269|PubMed:26522472}; Peripheral membrane protein {ECO:0000250|UniProtKB:Q15436}; Cytoplasmic side {ECO:0000250|UniProtKB:Q15436}. Cytoplasm, cytosol {ECO:0000250|UniProtKB:Q15436}.
Q8IY34	SLC15A3 OCTP PHT2 PTR3	SUBCELLULAR LOCATION: Lysosome membrane {ECO:0000269|PubMed:17897319}; Multi-pass membrane protein {ECO:0000269|PubMed:17897319}.
Q9NSA0	SLC22A11 OAT4	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:15291761, ECO:0000269|PubMed:15576633}; Multi-pass membrane protein {ECO:0000269|PubMed:15291761, ECO:0000269|PubMed:15576633}.
A0AV02	SLC12A8 CCC9	SUBCELLULAR LOCATION: Membrane {ECO:0000305}; Multi-pass membrane protein {ECO:0000305}.
Q8TEV9	SMCR8	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:27193190, ECO:0000269|PubMed:28195531}. Nucleus {ECO:0000269|PubMed:28195531}. Note=Localizes mainly in the cytoplasm. {ECO:0000269|PubMed:28195531}.
Q9NY15	STAB1 FEEL1 KIAA0246	SUBCELLULAR LOCATION: Membrane {ECO:0000305}; Single-pass type I membrane protein {ECO:0000305}.
A6NFE2	SMCO2 C12orf70	SUBCELLULAR LOCATION: Membrane {ECO:0000305}; Single-pass membrane protein {ECO:0000305}.
P48775	TDO2 TDO	
P29084	GTF2E2 TF2E2	SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:7651391}.
Q96I99	SUCLG2	SUBCELLULAR LOCATION: Mitochondrion {ECO:0000255|HAMAP-Rule:MF_03221}.
Q6ZNK6	TIFAB	
Q9NYW3	TAS2R7	SUBCELLULAR LOCATION: Membrane; Multi-pass membrane protein.
Q9NUY8	TBC1D23 NS4ATP1	SUBCELLULAR LOCATION: Golgi apparatus, trans-Golgi network {ECO:0000269|PubMed:28823706, ECO:0000269|PubMed:29084197, ECO:0000269|PubMed:29426865}. Cytoplasmic vesicle {ECO:0000269|PubMed:29426865}. Note=Localization to the trans-Golgi is regulated by ARL1 and ARL5B/ARL8. ARL1 increases Golgi localization, while ARL5B decreases it. Recruitment to the trans-Golgi network requires the presence of GOLGA1 and GOLGA4, but not that of FAM91A1 (PubMed:29084197, PubMed:28823706). Recruited on AP-1-derived vesicles by WDR11 complex (PubMed:29426865). {ECO:0000269|PubMed:28823706, ECO:0000269|PubMed:29084197, ECO:0000269|PubMed:29426865}.
Q9UBN4	TRPC4	SUBCELLULAR LOCATION: Membrane; Multi-pass membrane protein. Cell membrane; Multi-pass membrane protein. Note=Enhanced insertion into the cell membrane after activation of the EGF receptor.
Q9UJT1	TUBD1 TUBD	SUBCELLULAR LOCATION: Nucleus {ECO:0000250|UniProtKB:Q9R1K7}. Cytoplasm {ECO:0000250|UniProtKB:Q9R1K7}. Cytoplasm, cytoskeleton, microtubule organizing center, centrosome, centriole {ECO:0000250|UniProtKB:Q9R1K7}. Cell projection, cilium {ECO:0000250|UniProtKB:Q9R1K7}. Note=Associated with centrioles. Both cytoplasmic and nuclear. In the elongating spermatid it is associated with the manchette, a specialized microtubule system present during reshaping of the sperm head. {ECO:0000250|UniProtKB:Q9R1K7}.
A7MCY6	TBKBP1 KIAA0775 SINTBAD	
O60907	TBL1X TBL1	SUBCELLULAR LOCATION: Nucleus {ECO:0000250}. Note=Colocalized with MECP2 to the heterochromatin foci. {ECO:0000250|UniProtKB:Q9QXE7}.
Q3YBR2	TBRG1 NIAM	SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:17110379}.
A6NFA1	TRABD2B HKAT TIKI2	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:22726442}; Single-pass type I membrane protein {ECO:0000269|PubMed:22726442}.
Q86V40	TRABD2A C2orf89 TIKI1	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:22726442}; Single-pass type I membrane protein {ECO:0000269|PubMed:22726442}.
O15178	TBXT T	SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:22611028, ECO:0000269|PubMed:24253444}.
Q96B02	UBE2W UBC16	SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:16368532, ECO:0000269|PubMed:21229326}. Note=In the nucleus, colocalizes with FANCL. {ECO:0000269|PubMed:21229326}.
Q5VVX9	UBE2U	
Q14139	UBE4A KIAA0126	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250|UniProtKB:E9Q735}.
Q8NHY6	ZFP28 KIAA1431	SUBCELLULAR LOCATION: Nucleus {ECO:0000305}.
Q96EF9	ZHX1-C8orf76 C8orf76	
Q8TBZ3	WDR20	
O95789	ZMYM6 Buster2 KIAA1353 ZNF258	SUBCELLULAR LOCATION: Nucleus {ECO:0000305}.
Q9P0L1	ZKSCAN7 ZNF167 ZNF448 ZNF64	SUBCELLULAR LOCATION: Nucleus {ECO:0000255|PROSITE-ProRule:PRU00187}.
Q9UJ78	ZMYM5 ZNF198L1 ZNF237 HSPC050	SUBCELLULAR LOCATION: Nucleus {ECO:0000305}.
Q15973	ZNF124	SUBCELLULAR LOCATION: Nucleus {ECO:0000305}.
Q8IWG1	WDR63	
P52746	ZNF142 KIAA0236	SUBCELLULAR LOCATION: Nucleus {ECO:0000305}.
Q86TI4	WDR86	
P35968	KDR FLK1 VEGFR2	SUBCELLULAR LOCATION: Cell junction {ECO:0000250}. Endoplasmic reticulum {ECO:0000269|PubMed:23529610}. Note=Localized with RAP1A at cell-cell junctions (By similarity). Colocalizes with ERN1 and XBP1 in the endoplasmic reticulum in endothelial cells in a vascular endothelial growth factor (VEGF)-dependent manner (PubMed:23529610). {ECO:0000250, ECO:0000269|PubMed:23529610}.; SUBCELLULAR LOCATION: [Isoform 1]: Cell membrane; Single-pass type I membrane protein. Cytoplasm. Nucleus. Cytoplasmic vesicle. Early endosome. Note=Detected on caveolae-enriched lipid rafts at the cell surface. Is recycled from the plasma membrane to endosomes and back again. Phosphorylation triggered by VEGFA binding promotes internalization and subsequent degradation. VEGFA binding triggers internalization and translocation to the nucleus.; SUBCELLULAR LOCATION: [Isoform 2]: Secreted {ECO:0000305}.; SUBCELLULAR LOCATION: [Isoform 3]: Secreted.
Q9UK12	ZNF222	SUBCELLULAR LOCATION: Nucleus {ECO:0000305}.
Q96BV0	ZNF775	SUBCELLULAR LOCATION: Nucleus {ECO:0000305}.
Q8TCV5	WFDC5 PRG5 WAP1 UNQ3036/PRO9842	SUBCELLULAR LOCATION: Secreted {ECO:0000305}.
Q7Z4V0	ZNF438	SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:17669267}.
Q96JM2	ZNF462 KIAA1803	SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:20219459, ECO:0000269|PubMed:21570965}.
Q17R98	ZNF827	SUBCELLULAR LOCATION: Nucleus {ECO:0000250}.
Q96EG3	ZNF837	SUBCELLULAR LOCATION: Nucleus {ECO:0000305}.
Q8TF50	ZNF526 KIAA1951	SUBCELLULAR LOCATION: Nucleus {ECO:0000305}.
Q8TAF7	ZNF461 GIOT1	SUBCELLULAR LOCATION: Nucleus {ECO:0000305}.
Q53HI1	UNC50 UNCL HSD-23 HSD23	SUBCELLULAR LOCATION: Nucleus inner membrane {ECO:0000250}; Multi-pass membrane protein {ECO:0000250}. Golgi apparatus membrane {ECO:0000269|PubMed:12808035}; Multi-pass membrane protein {ECO:0000269|PubMed:12808035}.
P15621	ZNF44 GIOT2 KOX7 ZNF55 ZNF58	SUBCELLULAR LOCATION: Nucleus {ECO:0000305}.
Q8N2I2	ZNF619	SUBCELLULAR LOCATION: Nucleus {ECO:0000305}.
Q8N9Z0	ZNF610	SUBCELLULAR LOCATION: Nucleus {ECO:0000305}.
Q9UI38	PRSS50 CT20 TSP50	SUBCELLULAR LOCATION: Endoplasmic reticulum {ECO:0000305|PubMed:17283160}. Note=May also localize to cytoplasmic membranes.
Q96MU7	YTHDC1 KIAA1966 YT521	SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:20167602}. Nucleus speckle {ECO:0000269|PubMed:26876937}. Note=Localizes to a novel subnuclear structure, the YT bodies. {ECO:0000250|UniProtKB:Q9QY02}.
Q6PFW1	PPIP5K1 HISPPD2A IP6K IPS1 KIAA0377 VIP1	SUBCELLULAR LOCATION: Cytoplasm, cytosol {ECO:0000269|PubMed:17690096, ECO:0000269|PubMed:17702752, ECO:0000269|PubMed:21222653}. Cell membrane {ECO:0000269|PubMed:21222653}. Note=Relocalizes to the plasma membrane upon activation of the PtdIns 3-kinase pathway. {ECO:0000269|PubMed:21222653}.
Q15649	ZNHIT3 TRIP3	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:28335020}. Nucleus {ECO:0000269|PubMed:28335020}.
Q6NXR4	TTI2 C8orf41	
P40306	PSMB10 LMP10 MECL1	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000255|PROSITE-ProRule:PRU00809}. Nucleus {ECO:0000250}.
P28065	PSMB9 LMP2 PSMB6i RING12	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000255|PROSITE-ProRule:PRU00809}. Nucleus {ECO:0000250}.
Q9NRZ7	AGPAT3 LPAAT3 UNQ759/PRO1490	SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000269|PubMed:20537980, ECO:0000269|PubMed:21173190}; Multi-pass membrane protein {ECO:0000255}. Nucleus envelope {ECO:0000269|PubMed:21173190}.
Q8TF01	PNISR C6orf111 SFRS18 SRRP130 HSPC261 HSPC306	SUBCELLULAR LOCATION: Nucleus speckle {ECO:0000269|PubMed:14578391}.
P14923	JUP CTNNG DP3	SUBCELLULAR LOCATION: Cell junction, adherens junction {ECO:0000269|PubMed:22781308}. Cell junction, desmosome {ECO:0000269|PubMed:22781308}. Cytoplasm, cytoskeleton {ECO:0000269|PubMed:22781308}. Membrane {ECO:0000269|PubMed:22781308}; Peripheral membrane protein {ECO:0000269|PubMed:22781308}. Note=Cytoplasmic in a soluble and membrane-associated form.
